Date,Topic,Title of Headline Roundup,url_story,left_story_title,left_story_url,left_story_source,left_story_leaning,left_story_text,center_story_title,center_story_url,center_story_source,center_story_leaning,center_story_text,right_story_title,right_story_url,right_story_source,right_story_leaning,right_story_text
2023-01-02,World,Ukraine Says it Killed Hundreds of Russian Troops in New Year's Missile Strike,/story/world-ukraine-says-it-killed-hundreds-russian-troops-new-years-missile-strike,Dozens of Russian soldiers feared dead as Ukraine strikes Moscow-controlled region,https://www.nbcnews.com/news/world/dozens-russian-soldiers-feared-dead-ukrainian-strike-donetsk-rcna63912,NBC News Digital,Lean Left,"
Ukraine killed dozens of Russian servicemen using U.S.-supplied artillery to hit a base in an occupied part of the country on New Years Eve, Russia's Defense Ministry said on Monday. Sixty-three servicemen died after 4 HIMARS artillery warheads struck a “provisional base,” the Russian Defense Ministry said Monday in a Telegram post. Two projectiles were shot down, the statement added. Earlier, a senior Russian-backed official in occupied Donetsk said “vocational school” in the city of Makiivka had been hit by U.S.-supplied HIMARS. “A significant number of dead and wounded,” Daniil Bezsonov, said in... ",Ukrainian military says it killed 400 Russian troops in occupied Makiivka,https://kyivindependent.com/news-feed/ukrainian-military-says-it-killed-400-russian-troops-in-occupied-makiivka,The Kyiv Independent,Center,"
Ukraine's Armed Forces hit a Russian military base in occupied Makiivka in Donetsk Oblast on New Year's night, killing 400 soldiers and injuring at least 300, the Strategic Communications Department of Ukraine's military wrote on Telegram.  Russian soldiers were stationed in a local school building, the report reads.  Ukraine's General staff hasn't reported this strike, only saying in its daily update that 760 Russian troops were killed on Dec. 31.  According to Russian Defense Ministry, cited by the Russian state-controlled news outlet RIA Novosti, Ukraine struck the military base in Makiivka using High-Mobility Rocket... ",Ukraine claims to have killed 400 Russians in missile attack,https://www.washingtonexaminer.com/news/ukraine-claims-to-have-killed-400-russians-in-missile-attack,Washington Examiner,Lean Right,"
Ukraine has claimed that its armed forces killed 400 Russians and injured 300 more in a missile attack on New Year's Eve. The attack was on a Russian military base in occupied Makiivka in Donetsk Oblast. The Department of Strategic Communications of the Armed Forces of Ukraine made the claim on Telegram. The Russian-installed administration of the Donetsk region in Ukraine said on Sunday that at least 25 rockets were fired at the region in the attack. Pro-Russian authorities have acknowledged casualties, but not confirmed the figures reported by Ukraine, according to BBC News. Daniil Bezsonov, a senior Russian-backed... "
2022-12-08,China,"China Relaxes ‘Zero Covid’ Measures, Prompting Economic Hopes and Pandemic Fears",/story/china-china-relaxes-zero-covid-measures-prompting-economic-hopes-and-pandemic-fears,‘The world changed overnight’: Zero-Covid overhaul brings joy — and fears — in China,https://www.cnn.com/2022/12/08/china/china-zero-covid-relaxation-reaction-intl-hnk/index.html,CNN Digital,Lean Left,"
Workers across China have dismantled some of the physical signs of the country’s zero-Covid controls, peeling health code scanning signs off metro station walls and closing some checkpoints after the government unveiled an overhaul of its pandemic policy. But as many residents expressed relief and happiness at the obvious loosening of measures, some worried about its impact and questioned how the new rules would be rolled out. “The world changed overnight, and that’s really amazing,” said Echo Ding, 30, a manager at a tech company in Beijing. “I feel like we are getting... ",How China hopes to chart path to soft landing after Covid restrictions start to ease,https://www.scmp.com/news/china/politics/article/3202536/how-china-hopes-chart-path-soft-landing-after-covid-restrictions-start-ease?module=lead_hero_story&pgtype=homepage,South China Morning Post,Center,"
Days after a deadly fire in Urumqi propelled fatigued communities to take to the streets, China has initiated an unannounced yet palpable movement away from its “zero-Covid” strategy by lifting lockdowns, ending mass testing and reopening public venues across key provinces. But Beijing is concerned that the inevitable wave of infections after restrictions are loosened, could lead to a surge in deaths, overwhelm the health system and trigger political instability. Policy and public health analysts say there are a number of preconditions that must be met – including fully equipped... ",China Reverses Harshest Covid-19 Restrictions following Protests,https://www.nationalreview.com/news/china-reverses-harshest-covid-19-restrictions-following-protests/,National Review (News),Lean Right,"
China has lifted its strictest zero-Covid policies after protests challenging the draconian measures swept the nation. Citizens who contract the virus and exhibit mild or no symptoms will no longer be required to check into a state facility to quarantine and can do so at home now, according to a ten-point order issued by the Chinese National Health Commission on Wednesday. Testing requirements for people traveling within China have also been dropped and officials were ordered to discontinue frequent arbitrary lockdowns. The order told officials to “more scientifically and accurately” demarcate “risk zones,” with... "
2022-11-21,Climate Change,COP27 Nations Agree on Climate Change Damage Payments but Fall Short on Fossil Fuels Deal,/story/climate-change-cop27-nations-agree-cover-climate-change-damage-fail-reach-fossil-fuels-deal,COP27 summit agrees to help climate victims. But it does nothing to stop fossil fuels,https://www.cnn.com/2022/11/19/world/cop27-egypt-agreement-climate-intl/index.html,CNN Digital,Lean Left,"
The world has failed to reach an agreement to phase out fossil fuels after marathon UN climate talks were “stonewalled” by a number of oil-producing nations. Negotiators from nearly 200 countries at the COP27 UN climate summit in Egypt took the historic step of agreeing to set up a “loss and damage” fund meant to help vulnerable countries cope with climate disasters and agreed the globe needs to cut greenhouse gas emissions nearly in half by 2030. The agreement also reaffirmed the goal of keeping global warming to 1.5 degrees Celsius above pre-industrial... ",What is loss and damage and will rich nations pay for climate change?,https://www.bbc.com/news/science-environment-63478446,BBC News,Center,"
World leaders have reached a historic deal to give money to developing nations facing the effects of climate change. The creation of a fund for ""loss and damage"" is seen as a breakthrough, but previous promises of payments are still to be met. What do countries want money for? Money for climate action broadly falls into three buckets: Loss and damage: This money is to help developing countries recover from the effects of climate change they are already suffering. For example, in the past 12 months alone the developing world has... ","Climate reparations get cold shoulder from activists, conservatives ahead of expected GOP roadblock",https://www.washingtontimes.com/news/2022/nov/21/climate-reparations-get-cold-shoulder-activists-co/,Washington Times,Lean Right,"
Liberals and conservatives are criticizing a U.N.-backed deal supported by the Biden administration for richer nations to pay reparations to poorer countries for the impacts of climate change. Attendees of the COP27 climate summit held in Egypt went into overtime last weekend to establish a global “loss and damage” fund. The historic initiative calls for wealthier nations like the U.S. and its allies in Europe to compensate poorer nations that have been most affected by climate change but are among the lowest emitters of greenhouse gases.  The agreement has frustrated the political... "
2022-11-08,Elections,When Will We Know the 2022 Midterm Election Results?,/story/2022-elections-when-will-we-know-2022-midterm-election-results,Be patient: This election is probably going to go on a while,https://www.npr.org/2022/11/07/1134646535/election-results-delay,NPR (Online News),Lean Left,"
Election Day is Tuesday, but with early voting, the more accepted use of mail voting and the prospect of razor-thin races, it's really Election Season. And Tuesday only marks the beginning of the next phase in that season. Gird for many of these elections to go on for days, if not weeks. This is all perfectly normal when there are close elections. It doesn't mean that there is fraud — despite the lies about his 2020 loss that former President Donald Trump has pushed and so many candidates he's backed... ",When Will We Know 2022 Midterm Election Results?,https://projects.fivethirtyeight.com/when-election-results-2022/,538 (ABC News),Center,"
When are we going to know the results of the midterms? In 2020, due to slow vote counting in many states, it took days — until Saturday, Nov. 7 — for ABC News to declare Joe Biden the president-elect. We likely won’t have to wait that long this year, but it is again possible that we won’t know the winners of the 2022 election on election night. States like Arizona, Nevada and Pennsylvania that are key to Senate control could take multiple days to count all their votes. The exact timing of... ",Midterm mirage: How early results could be skewed and why we might not know results for days,https://www.washingtonexaminer.com/restoring-america/community-family/how-early-results-could-be-skewed-why-we-might-not-know-results-for-days,Washington Examiner,Lean Right,"
Voters won’t immediately know the results of the 2022 midterm elections , with some of the most consequential races not expected to be called for days — maybe even weeks. The fate of both the House and Senate for the next two years will be decided after the polls close on Tuesday. However, a number of factors could delay how long until voters and candidates know the results of their races, especially for those in key battleground states that are set to determine which party will gain control of Congress. "
2022-09-23,Banking and Finance,Stocks Fall Sharply as Investors Readjust Economic Expectations,/story/banking-and-finance-stocks-fall-sharply-investors-readjust-economic-expectations,Stocks plunge as recession fears mount,https://www.cnn.com/2022/09/23/investing/dow-stock-market-today/index.html,CNN Business,Lean Left,"
US stocks fell sharply in Friday trading as investors continued to worry about even more rate hikes from the Federal Reserve that could land the US economy in a recession. The Dow (INDU) tumbled 602 points, or 2%, in afternoon trading. The S&P 500 (SPX) and the Nasdaq (COMP) Composite were each down 2.2%. The Dow is currently within 20 points of reaching bear territory. If the Dow finishes at or below 29,439.72, it would mark a 20% fall from the indexes record close of 36,799.65 set on January 4, and send the index into an official bear market.... ","From the Fed to Europe’s currency crisis, here’s what’s behind this selloff in financial markets",https://www.cnbc.com/2022/09/23/from-the-fed-to-europes-currency-crisis-heres-whats-behind-this-selloff-in-financial-markets.html,CNBC,Center,"
Stocks fell sharply, bond yields rose and the dollar strengthened Friday as investors heeded the Federal Reserve’s signal that its battle with inflation could result in much higher interest rates and a recession.
The sell-off Friday was global, in a week where the Fed boosted rates by another three-quarters of a point and other central banks raised their own interest rates to combat global inflation trends.
",Investors are now bracing for 'hard landing' for economy,https://www.washingtonexaminer.com/policy/economy/investors-bracing-recession-fed,Washington Examiner,Lean Right,"
Markets have been in decline for the past two weeks as investors prepare for the growing likelihood that the Federal Reserve won’t be able to avoid plunging the economy into a recession. A month ago, some economists were giving about even odds that the Fed could pull off a “soft landing,” which means tamping down inflation by raising interest rates while skirting an economic recession. Since then, investor outlook appears to have quickly become gloomy in the face of a worse-than-expected inflation report and another massive rate hike. "
2022-08-10,Elections,Who Did Voters Choose in Tuesday's Primaries?,/story/who-did-voters-choose-tuesdays-primaries,Trump endorsed 5 candidates in Tuesday’s primaries. Here are the winners.,https://www.politico.com/news/2022/08/10/trump-endorsed-candidates-2022-primary-results-00050519,Politico,Lean Left,"
Donald Trump’s pick to be the next governor of Wisconsin won his primary last night — but the former president struck out, narrowly, in an attempt to take down the most powerful Republican legislator in the state. While Adam Steen failed to defeat Wisconsin state Assembly Speaker Robin Vos, who won by a few percentage points, Trump picked candidates in a handful of other major races Tuesday as he continues stretching the power of his endorsement around the country. We’re tracking Donald Trump’s endorsement track record through the 2022 primaries.... ","Five takeaways from primaries in Wisconsin, Minnesota and beyond",https://thehill.com/homenews/campaign/3595329-five-takeaways-from-primaries-in-wisconsin-minnesota-and-beyond/,The Hill,Center,"
Tuesday’s primaries in Wisconsin, Minnesota, Vermont and Connecticut saw victories for Trump-endorsed candidates in the GOP, wins for progressives on the Democratic side of the aisle and a few history-making moments as well.  Former President Trump and progressive Sen. Bernie Sanders (I-Vt.) touted their endorsed candidates’ victories, while Democrats in Vermont put the state on track to send its first female representative to Capitol Hill.  Here are five takeaways from Tuesday’s primaries. A good night for Trump-backed candidates Trump saw a number of victories on Tuesday, marking a second successful week in... ",Top 5 takeaways: Here’s what you missed from last night’s primaries,https://www.washingtonexaminer.com/news/campaigns/heres-what-you-missed-from-august-10-primaries,Washington Examiner,Lean Right,"
Primary voters in four states headed to the polls Tuesday night to determine several contested races in key elections that might sway control of Congress in November. Voters cast their ballots in Connecticut, Minnesota, Vermont, and Wisconsin, with most races called by late Tuesday. Additionally, some victors emerged from primary races that were left uncalled from last week, ousting one House Republican who voted to impeach former President Donald Trump last year. Here are the biggest results from last night’s primary elections: Tim Michels won the Republican nomination for Wisconsin’s governor, setting the stage for... "
2022-07-21,Criminal Justice,White House Outlines $37 Billion Crime Prevention Proposal,/story/white-house-outlines-37-billion-crime-prevention-proposal,Biden had planned to announce police proposals,https://www.washingtonpost.com/politics/2022/07/21/biden-crime-gun-budget/,Washington Post,Lean Left,"
President Biden had planned to announce proposals on crime and policing Thursday, an effort to show he is confronting violent crime while responding to Democrats’ desire for action following recent mass shootings and the failure of police reform efforts in Congress. Biden tested positive for covid-19 on Thursday morning, and the White House did not initially say if he still planned to share his proposals virtually from isolation. Biden had been scheduled to visit Wilkes-Barre, Pa., to lay out a “Safer America Plan” that included expanded law enforcement funding to... ",Biden to request $37B in annual budget to support police and prevent crime,https://thehill.com/blogs/blog-briefing-room/news/3568076-biden-to-request-37b-in-annual-budget-to-support-police-and-prevent-crime/,The Hill,Center,"
President Biden will request $37 billion in the annual budget to go towards supporting law enforcement and for crime prevention, the White House announced on Thursday.  The request will be part of Fiscal 2023 budget process and Biden is set to announce it in remarks on Thursday in Wilkes-Barre, Pa. The trip will be focused on building on the Bipartisan Safer Communities Act, which was the bipartisan gun bill he signed into law last month.  Senior administration officials said the timing of the announcement is a way for the president to stress... ",Biden asks Congress for $37 billion to fight crime ahead of midterm elections,https://www.washingtonexaminer.com/restoring-america/fairness-justice/biden-congress-for-37-billion-to-fight-crime-ahead-of-midterm-elections,Washington Examiner,Lean Right,"
President Joe Biden is expected to lay out plans to ask Congress for $37 billion for crime prevention programs. Biden will outline his Safer America Plan, which allocates $13 billion to hire and train an additional 100,000 police officers over the next five years, $3 billion to help communities clear their court backlogs, and a 13% funding increase for the Bureau of Alcohol, Tobacco, Firearms and Explosives . The plan, which was set to be introduced in a visit to Pennsylvania on Thursday before Biden tested positive for COVID-19, also puts $15 billion toward a grant... "
2022-07-11,China,Protests Over Bank Account Access in China Turn Violent,/story/protests-over-bank-account-access-china-turn-violent,China crushes mass protest by bank depositors demanding their life savings back,https://www.cnn.com/2022/07/10/china/china-henan-bank-depositors-protest-mic-intl-hnk/index.html,CNN Business,Lean Left,"
Chinese authorities on Sunday violently dispersed a peaceful protest by hundreds of depositors, who sought in vain to demand their life savings back from banks that have run into a deepening cash crisis. Since April, four rural banks in China's central Henan province have frozen millions of dollars worth of deposits, threatening the livelihoods of hundreds of thousands of customers in an economy already battered by draconian Covid lockdowns. Anguished depositors have staged several demonstrations in the city of Zhengzhou, the provincial capital of Henan, over the past two months, but... ",Chinese protesters demanding bank deposits tussle with security men,https://www.reuters.com/world/china/chinese-protesters-demanding-bank-deposits-tussle-with-security-men-2022-07-10/,Reuters,Center,"
Several people protesting in the Chinese city of Zhengzhou over the freezing of deposits by some rural-based banks said they were injured on Sunday when heavy-handed security personnel dispersed the crowd. The banks froze millions of dollars worth of deposits in April, telling customers they were upgrading their internal systems. read more The banks have not issued any communication on the matter since, depositors said. None of the banks has responded to emails and telephone calls seeking comment. Chinese media has reported that the frozen deposits could be worth up to $1.5... ",Chinese cops 'beat' protesters outraged at having bank accounts frozen,https://www.foxnews.com/world/chinese-cops-beat-protesters-outraged-having-bank-accounts-frozen,Fox News Digital,Right,"
Chinese police ""beat"" citizens who gathered to protest against having their bank accounts frozen due to COVID-19 policies on Sunday, according to protesters. Protests centered on three banks serving primarily rural communities that have frozen millions of dollars in accounts since April. Roughly 1,000 protesters gathered to call for the release of their funds outside the Zhengzhou branch of the Chinese Central Bank, but they say they were met with violence. ""I feel so aggrieved I can't even explain it to you,"" one protester, going only by the name Zhang, told... "
2022-06-29,Justice,"Was Hutchinson's Jan. 6 Testimony Damning, or Deserving of Skepticism?",/story/was-hutchinsons-jan-6-testimony-damning-or-deserving-skepticism,Why today's 1/6 hearing was utterly devastating for Donald Trump,https://www.cnn.com/2022/06/28/politics/donald-trump-january-6/index.html,CNN Digital,Lean Left,"
To date, the January 6 committee has provided a clinical, step by step breakdown of who knew what when in the days leading up to the insurrection at the US Capitol. The committee's hearing on Tuesday was something quite different -- as Cassidy Hutchinson, a former top aide to Trump White House chief of staff Mark Meadows, provided stirring and intimate details of what happened that day and, specifically, how Donald Trump acted. It was, in a word, ugly. Three moments stand out: 1) Hutchinson said she was told that when Trump... ",Three Denials of Cassidy Hutchinson's Explosive Trump Testimony,https://www.newsweek.com/three-denials-cassidy-hutchinsons-explosive-trump-testimony-1720338,Newsweek,Center,"
Tuesday's testimony by Cassidy Hutchinson, a former White House aide, before the House's January 6 committee offered insights into Donald Trump's movements and conversations before and on the day of the Capitol riot, as well as startling allegations against the former president and his allies. Later that day, Trump dismissed many of Hutchinson's accusations on his social media site, Truth Social, describing her as a ""total phony"" and downplaying her role in his administration. Secret Service agents and a former Trump White House lawyer have also reportedly disputed specific parts of her testimony.... ",Bombshell J6 Testimony About Trump’s Behavior Collapses Within Hours,https://dailycaller.com/2022/06/29/secret-service-donald-trump-steering-wheel-ornato-engel-hutchinson/,The Daily Caller,Right,"
The U.S. Secret Service reportedly plans to publicly denounce allegations from former White House aide Cassidy Hutchinson. She testified Tuesday that former President Donald Trump lunged for the steering wheel in order to get to the Capitol to march with protesters Jan. 6. Hutchinson testified Tuesday that she spoke with the deputy chief of staff for operations, Tony Ornato, in a meeting that U.S. Secret Service special agent Robert Engel was present for. She said Ornato told her Trump became “irate” when he was told he could not go to the Capitol... "
2022-06-24,Abortion,The States Poised to Restrict or Outlaw Abortion,/story/states-poised-restrict-or-outlaw-abortion,These States Will Ban Abortion Now That Roe Is Overturned,https://www.huffpost.com/entry/states-ban-abortion-roe-v-wade-overturned_n_62a755b9e4b0cdccbe537af0,HuffPost,Left,"
The Supreme Court overturned Roe v. Wade in a 5-1-3 decision in the case of Dobbs v. Jackson Women’s Health Organization on Friday. Abortion will now be heavily restricted or completely banned in about half of the U.S.’s 50 states. But changes to legal access to abortion, while radical and widespread, will happen unevenly under a patchwork of varying state laws. Overturning Roe just means states are free to decide how to, or if, to allow access to abortion services. Sixteen states will immediately, or in short order, ban abortions in... ",Abortion access in a post-Roe America,https://graphics.reuters.com/USA-ABORTION/GRAPHIC/zgpomdbeopd/index.html,Reuters,Center,"
On June 24, the U.S. Supreme Court, in a 6-3 decision, overturned the landmark 1973 Roe v. Wade ruling that recognized a woman's constitutional right to an abortion and legalized it nationwide. These 22 states are now primed to outlaw the procedure under existing laws or constitutional amendments that heavily restrict access. Some bans will take effect immediately and others in the weeks and months ahead. South Dakota, Louisiana and Kentucky have “trigger” bans in place to immediately outlaw abortion once Roe is overturned. Penalties for people who provide or attempt to provide... ",What does overturning Roe v. Wade mean? Supreme Court decision's implications,https://www.foxnews.com/politics/what-does-overturning-roe-v-wade-mean-supreme-court-decision,Fox News Digital,Right,"
The Supreme Court delivered a dramatic change to abortion jurisprudence in a Mississippi abortion case, Dobbs v. Jackson Women's Health Organization, by overturning Roe v. Wade. A leaked February draft opinion indicated that the court may move in that direction. The final opinion was released Friday, June 24.  Overturning Roe v. Wade, the landmark ruling that limited government restrictions on abortion, will allow states to change access to abortion, allowing state legislatures to pass laws banning abortions prior to fetal viability. Blue states, however, are looking to expand access to abortion. How... "
2022-06-17,Coronavirus,Should Kids Under Age 5 Get the COVID-19 Vaccine?,/story/should-kids-under-age-5-get-covid-19-vaccine,The Case for Vaccinating Kids Under 5,https://www.nytimes.com/2022/06/15/opinion/moderna-pfizer-under-5-vaccine-covid.html,New York Times (Opinion),Left,"
The rapid development of approaches to combating Covid-19 has changed how the pandemic affects our lives. While there are now a number of safe and effective layers of protection for adults to reduce their risk of the worst impacts of Covid-19, young children remain relatively unshielded. Although children have been at a lower risk of severe Covid-19 compared with older adults, the past six months have been the most perilous time of the pandemic for them — especially very young children. Children under 5 are the only age group in... ",Why some parents are skeptical about covid vaccines for young children,https://www.washingtonpost.com/outlook/2022/06/17/covid-vaccine-under-five-parents-hesitation/,Guest Writer - Center,Center,"
On Friday, the Food and Drug Administration authorized Pfizer-BioNTech and Moderna’s coronavirus vaccines for children as young as 6 months. Shots should be available next week, which will provide some parents a long overdue tool to protect their children from covid. It also will likely go unused by most American parents. This latter group, which will likely not seek out a coronavirus vaccine for their young children, deserves closer attention, not least of all because their hesitancy represents a change in how parents make health care decisions for their children. Rather than... ",Ben Carson to Newsmax: Use 'Common Sense' on Kids' COVID Shots,https://www.newsmax.com/politics/ben-carson-covid-vaccinations/2022/06/16/id/1074754/,Newsmax (News),Right,"
Former Housing and Urban Development Secretary Ben Carson, also a retired neurosurgeon, Thursday on Newsmax urged ""common sense"" when considering COVID-19 vaccinations for children under the age of 5, after advisers for the Food and Drug Administration recommended the shots be approved. ""There are some people who are very concerned and they want the vaccine, and I'm glad that it would be available for them,"" Carson said on Newsmax's ""National Report."" ""The problem I have is, trying to create an environment where you push people into having to have the vaccine."" Instead,... "
2022-06-12,Gun Control and Gun Rights,Senators Reach Deal on Bipartisan Gun Safety Framework,/story/senators-reach-bipartisan-deal-gun-reforms-package,A bipartisan group of senators announces a deal for school safety and gun measures,https://www.npr.org/2022/06/12/1104433332/gun-control-senate-deal,NPR (Online News),Lean Left,"
A bipartisan group of Senate negotiators say they have reached a deal on a package of safety and gun-related measures narrowly focused on preventing future shootings similar to the one in Uvalde, Texas, where 19 children and two teachers were killed in their school. The proposal, which has not been written into legislative text, includes money to encourage states to pass and implement so-called ""red flag"" laws to remove guns from potentially dangerous people, money for school safety and mental health resources, expanded background checks for gun purchases for people... ",Senators Reach Framework for Legislation Addressing Gun Violence,https://www.wsj.com/articles/senate-negotiators-close-in-on-deal-in-gun-talks-11655045403,Wall Street Journal (News),Center,"
Senate negotiators said Sunday they reached a bipartisan framework on measures intended to limit some access to firearms, paving the way for the broadest federal legislation on guns in decades. The proposal, after weeks of push and pull in the wake of mass shootings last month at a Buffalo, N.Y., supermarket and a Uvalde, Texas, elementary school, is narrower than what many Democrats had sought. It aims to go after illegal sales of guns and to fund mental-health programs and school security. It also provides incentives for states to implement and maintain so-called red-flag laws and includes juvenile... ",Senators reach bipartisan deal on gun reforms framework,https://nypost.com/2022/06/12/outline-of-senates-bipartisan-gun-bill-could-be-announced-soon/,New York Post (News),Lean Right,"
A bipartisan group of senators announced Sunday that they had reached agreement for a framework of gun safety measures that would include red flag laws, background checks and funds to secure schools — but wouldn’t raise the age to buy certain rifles to 21. “Today, we are announcing a commonsense, bipartisan proposal to protect America’s children, keep our schools safe, and reduce the threat of violence across our country. Families are scared, and it is our duty to come together and get something done that will help restore their sense of safety and... "
2022-05-20,Economy and Jobs,S&P 500 Briefly Falls Into Bear Market Territory,/story/sp-500-falls-bear-market-territory,S&P 500 enters bear market territory — a 20 percent decline from a recent peak — for the first time since 2020,https://www.nbcnews.com/business/markets/sp-500-enters-bear-market-first-time-2020-rcna29615,NBC News Digital,Lean Left,"
It's been a tough year for stocks — and it's only getting worse.
On Friday, the S&P 500 index entered an intraday bear market for the first time since 2020 and also signaled a market close below a January record.
A bear market occurs when a stock index declines 20 percent or more from its most recent high.
",S&P 500 Plunges Into Bear Market As Stocks Fall For Seventh Week In A Row,https://www.forbes.com/sites/sergeiklebnikov/2022/05/20/sp-500-plunges-into-bear-market-as-stocks-fall-for-seventh-week-in-a-row/?sh=3e58b3ad722c,Forbes,Center,"
The stock market tanked on Friday, adding to heavy losses this week that pushed the S&P 500 into a bear market, down over 20% from its peak in January as investors continue to get whipsawed by concerns about inflationary pressures and rising rates.
The selloff on Wall Street continued with a vengeance: The Dow Jones Industrial Average fell 1.6%, over 500 points, while the S&P 500 lost 1.9% and the tech-heavy Nasdaq Composite 2.7%.
","S&P 500 falls into bear market, joins Nasdaq",https://www.foxbusiness.com/markets/sp500-stocks-bear-market-nasdaq-recession,Fox Business,Lean Right,"
The S&P 500, the broadest measure of the U.S. stock market, slipped into bear market territory on Friday.  The benchmark is now down 20% from its January high of 4,796.56 and needs to close at or below 3,837.25 for the official start.  ""I think you would expect with the Fed raising rates that all these assets, trillions of worldwide, would have to be repriced. But we have to get inflation under control"" said James Bullard, President of the Federal Reserve Bank of St. Louis during an exclusive interview with FOX Business.  "
2022-04-16,Public Health,What's Causing The Growing Mental Health Crisis Among US Teens?,/story/rising-depression-anxiety-rates-teens-mental-health,Why American Teens Are So Sad,https://www.theatlantic.com/newsletters/archive/2022/04/american-teens-sadness-depression-anxiety/629524/,The Atlantic,Left,"
The United States is experiencing an extreme teenage mental-health crisis. From 2009 to 2021, the share of American high-school students who say they feel “persistent feelings of sadness or hopelessness” rose from 26 percent to 44 percent, according to a new CDC study. This is the highest level of teenage sadness ever recorded. The government survey of almost 8,000 high-school students, which was conducted in the first six months of 2021, found a great deal of variation in mental health among different groups. More than one in four girls reported that they... ",Nearly Half of U.S. Teens Report Feeling Sad and Hopeless: What Can Be Done?,https://psychcentral.com/news/teenage-mental-health-pandemic-cdc-report,Psych Central,Center,"
It’s never been easy to be a teenager, but today’s youth are grappling with a mental health crisis of epic proportions. An April 2022 report from the Centers for Disease Control and Prevention (CDC) — the Adolescent Behaviors and Experiences SurveyTrusted Source — shows that 44% of teens feel “persistent feelings of sadness and hopelessness.” According to previous CDC data,Trusted Source this is an increase from around 26% in 2009 and 37% in 2019. The startling data demonstrate how a growing youth mental health crisis has been exacerbated by the COVID-19 pandemic. “Mental health problems in... ",CDC Finds American Teens “Persistently Sad or Hopeless” — Here’s 2 Conservative Solutions,https://www.tpusa.com/live/cdc-finds-american-teens-persistently-sad-or-hopeless-heres-2-conservative-solutions,Turning Point USA,Right,"
According to a new survey by the CDC, American teens are facing a drastic mental health crisis. Below are the crazy numbers for “Percent of High-School Students Feeling Persistently Sad or Hopeless” A few thoughts: Long-Term Joy vs. Fleeting Pleasure: We are abandoning our primal roles in life in exchange for immediate and brief sensations of pleasure and “happiness.” The more we tell our children to idolize celebrities, social media followers, money, and self-gratification OVER long-term fulfilling purpose, service, and joy, the more we will see these numbers grow. We must embrace love,... "
2022-03-16,Politics,Zelenskyy Delivers Virtual Speech to Congress,/story/zelenskyy-delivers-virtual-speech-us-congress,"Zelenskyy tells US Congress, ‘We need you right now’",https://apnews.com/article/russia-ukraine-europe-winston-churchill-congress-af1578f966e3e8feda02659740c8fba1,Associated Press Fact Check,Lean Left,"
Ukrainian President Volodymyr Zelenskyy cited Pearl Harbor and the terror attacks of Sept. 11, 2001 on Wednesday as he appealed to the U.S. Congress to do more to help Ukraine’s fight against Russia, but acknowledged the no-fly zone he has sought to “close the sky” over his country may not happen. Livestreamed into the Capitol complex, Zelenskyy said the U.S. must sanction Russian lawmakers and block imports, and he showed a packed auditorium of lawmakers an emotional video of the destruction and devastation his country has suffered in the war.... ",Zelensky Presses Congress for More Aid for Ukraine,https://www.wsj.com/articles/ukraines-zelensky-to-address-u-s-lawmakers-eager-to-help-military-needs-11647423001,Wall Street Journal (News),Center,"
Ukrainian President Volodymyr Zelensky pressed U.S. lawmakers for further military assistance and new sanctions in a speech Wednesday beamed from Kyiv, making a personal plea to President Biden as his administration prepared to announce another round of aid. Mr. Zelensky, whose country was invaded by Russia about three weeks ago, delivered a virtual speech Wednesday morning to both chambers of Congress. Ahead of the speech, Ukraine said it launched a counteroffensive against Russian forces encroaching on its capital and other key cities. Lawmakers gathered in an auditorium in the Capitol complex... ","Zelenskyy in speech to Congress urges U.S. for no-fly zone, aircraft to battle Russia",https://www.washingtontimes.com/news/2022/mar/16/zelenskyy-speech-congress-urges-us-no-fly-zone-air/,Washington Times,Lean Right,"
Ukrainian President Volodymyr Zelenskyy in a livestreamed video to Congress on Wednesday pleaded for the U.S. to help him battle Russia’s bombardment of his country with a no-fly zone or military equipment to protect Ukraine’s skies. “Russia has turned the Ukrainian side into a source of death for thousands of people,” Mr. Zelenskyy told the roomful of senators and congressman.  “This is a terror that Europe has not seen, has not seen for 80 years, and we are asking for a reply to this terror from the whole world. Is this a lot to ask... "
