Date,Topic,Title of Headline Roundup,left_story_title,left_story_text,left_story_GPT_pred,left_story_GPT_explanation,center_story_title,center_story_text,center_story_GPT_pred,center_story_GPT_explanation,right_story_title,right_story_text,right_story_GPT_pred,right_story_GPT_explanation
2024-06-26,LGBTQ Issues,Republican Support For Same-Sex Marriage Declines For Second Consecutive Year,The GOP’s sudden turn away from gay rights — and acceptance,"
Americans’ embrace of same-sex rights and acceptance of gay Americans has been one of the steadiest trends in recent political history, with support for same-sex marriage gradually rising from less than 30 percent in the mid-1990s to around 70 percent today. Support has become so strong that pollsters have largely stopped even asking about it. But there’s increasing evidence that these gains have halted and even reversed somewhat, largely thanks to Republicans moving in the opposite direction — in some cases, sharply. Gallup is the latest to show this: GOP... ",Left,"- The article discusses the GOP's shift away from supporting gay rights, which is a topic often highlighted by left-leaning publications as a critique of conservative policies.
- The tone of the article suggests concern over the reversal of progress in same-sex rights, aligning with liberal values that emphasize equality and acceptance.
- The focus on the Republican Party's actions and the framing of these actions as a negative development is indicative of a left-leaning perspective.",Support for Same-Sex Marriage Is Declining,"
Support for same-sex marriage in the United States is declining, especially among Republican voters, according to new data. Gay marriage was legalized nationwide in 2015, after the landmark Supreme Court case Obergefell v. Hodges. While approval for same-sex marriage steadily increased across political affiliations, data from Gallup has shown a decrease over the past two years. The majority of Americans still approve of it, with 69% saying same-sex marriages should be legal. The peak for national approval of gay marriage was 71%, in 2022. Slightly fewer Americans believe that gay... ",Center,"- The article presents data from Gallup, a reputable polling organization, without showing a clear bias towards either supporting or opposing same-sex marriage, indicating a neutral tone.
- It mentions the decline in support among Republican voters but does not use language that criticizes or praises this group, maintaining a balanced perspective.
- The article provides historical context about the legalization of same-sex marriage and current approval ratings without taking a stance, which is characteristic of center-aligned reporting.","Republican Support for Gay Marriage Plummeted over Past Two Years, New Poll Finds","
Republican support for gay marriage noticeably declined over the past two years as LGBT activists have increasingly focused their efforts on advocating medical transition for gender-confused youth and the teaching of gender ideology in schools. After peaking at 55 percent in 2021 and 2022, Republican support for gay marriage is down to 46 percent overall, dropping 9 points in just two years, according to new Gallup polling. Gay-marriage support among Democrats remained steady at 83 percent compared to 74 percent support among independents. Overall, more than two-thirds of Americans, 69... ",Right,"- The article highlights a decline in Republican support for gay marriage, which aligns with conservative views on traditional marriage.
- It mentions LGBT activists focusing on medical transition for youth and teaching gender ideology, topics often criticized by conservative groups.
- The tone suggests a critical view of these LGBT advocacy efforts, which is typical of right-leaning publications."
2024-06-19,Justice,The Nation Celebrates Juneteenth,Juneteenth: What to know about the historical celebration that's now a federal holiday,"
Three years after it was made a federal holiday, Juneteenth 2024 marks a day of celebration as well as education. The federal holiday known as “Second Independence Day,” marks the day the last African American slaves were notified that they had been freed from their masters, the National Museum of African American History and Culture said. Dr. Tim Goler, a professor of urban affairs and sociology courses and director of research for the Center for African American Public Policy at Norfolk State University, told USA TODAY that Juneteenth or ""Freedom Day"" is a day that shows... ",Center,"- The article provides factual information about Juneteenth, its historical significance, and its recognition as a federal holiday, without displaying a strong political bias.
- It includes quotes from experts and institutions like the National Museum of African American History and Culture, which are generally seen as authoritative and educational sources.
- The tone of the article is educational and informative, focusing on the historical and cultural aspects of Juneteenth rather than engaging in political commentary or advocacy.",Why I revel in the joyful sound of Juneteenth,"
“Party with a purpose” is a phrase that fits well with most Black holidays and occasions. Historically, Juneteenth has been no different. Yet something curious has happened since the day became a federal holiday in the United States in 2021. This jubilant celebration of African American independence has somehow become less fun. A controversy last June underscored this dynamic. A series of multiracial banners appeared throughout downtown Greenville, South Carolina, which raised angst among certain community members because of the Black origins of Juneteenth. What was lost in the conversation went... ",Left,"- The article discusses Juneteenth, a holiday that celebrates African American independence, which is often associated with progressive and left-leaning perspectives on racial justice and equality.
- The tone of the article suggests a focus on inclusivity and multiculturalism, as it mentions multiracial banners and community reactions, which are themes commonly emphasized in left-leaning discourse.
- The publication of the article in a context that highlights cultural and racial issues aligns with typical left-wing agendas that prioritize social justice and recognition of minority histories and contributions.",Why Juneteenth is a holiday for ALL Americans to celebrate,"
America today celebrates Juneteenth, a commemoration both of the horrors of the nation’s original sin, slavery, and of its end.
The holiday traces to victorious Union Gen. Gordon Granger’s June 19, 1865 order putting the Emancipation Proclamation (issued in January 1863) into full legal effect across Texas and freeing all the state’s remaining slaves.
The celebration has since spread, especially in the South, culminating in federal recognition in 2021 by President Biden
",Center,"- The article discusses Juneteenth as a holiday for all Americans, focusing on its historical significance and recent federal recognition, which is a neutral and inclusive perspective.
- It mentions President Biden's role in recognizing the holiday federally, but does not frame this in a partisan manner, instead highlighting the broader historical context.
- The tone of the article is educational and commemorative, aiming to inform readers about the importance of Juneteenth without pushing a specific political agenda."
2024-06-18,2024 Presidential Election,WH Press Sec Labels Biden Videos ‘Cheap Fakes’ Made in ‘Bad Faith’,"‘Cheap Fakes’: White House Slams Viral Biden Age Videos, Credits Conservative Outlet For Calling Them Out","
White House Press Secretary Karine Jean-Pierre fumed at the viral clips circulating social media that are often selectively edited to make President Joe Biden look senile, dubbing them “cheap fakes.” “There seems to be a sort of a rash of videos that have been edited to make the president appear especially frail or mentally confused. I’m wondering if the White House is especially worried about the fact that this appears to be a pattern that we’re seeing more,” asked a White House reporter during Monday’s briefing. “Yeah. We, and I think you all have... ",Center,"- The article reports on a statement from the White House Press Secretary regarding viral videos of President Biden, which is a factual event without an overtly biased tone.
- It mentions that a conservative outlet was credited for calling out the videos, suggesting a balanced view by acknowledging the role of a typically right-leaning source in addressing misinformation.
- The article does not take a clear stance on the political spectrum itself, focusing instead on the issue of misinformation and the response from the White House.",White House Attacks “Cheap Fake” Joe Biden Videos As They Spread Across Right Wing Media And Parrot Donald Trump’s Talking Points,"
The White House in the past week has railed against so-called “cheap fakes,” videos edited to look as if President Joe Biden has “frozen” or was wandering away at major public events, while media outlets amplifying the moments have done little to add context. The videos include one at a D-Day ceremony earlier this month, another at a Juneteenth ceremony last week and still another the G7 summit Thursday. The latest to go viral is a video at the end of Biden’s star-filled Los Angeles re-election fundraiser over the weekend. As the moments have... ",Left,"- The article's tone is critical of right-wing media for spreading misleading videos about President Joe Biden, which aligns with a left-leaning perspective that often defends Democratic figures against conservative attacks.
- The article mentions the White House's defense of Biden and criticizes the lack of context provided by right-wing media, indicating a stance that is protective of the current Democratic administration.
- The focus on ""cheap fakes"" and the implication that these are tactics used by right-wing media to undermine Biden aligns with a left-wing narrative that often highlights misinformation spread by conservative outlets.",Karine Jean-Pierre slammed for claiming Biden videos are deepfakes: 'Don't believe your lying eyes!',"
White House press secretary Karine Jean-Pierre faced a wave of criticism Monday after claiming a series of viral videos of President Biden appearing frail in the past week were ""deepfakes."" Numerous controversial videos have emerged of Biden during his visits to commemorate D-Day in France, attend the G-7 summit in Italy, and attend a recent fundraiser for his campaign that have raised questions about his age.  Jean-Pierre was asked about ""a rash of videos that have been edited to make the president appear especially frail or mentally confused,"" and responded by calling... ",Right,"- The article's tone is critical of Karine Jean-Pierre and the Biden administration, which is a common stance in right-leaning media.
- The focus on President Biden's age and mental acuity is a narrative often emphasized by conservative outlets.
- The publication likely has a history of skepticism towards the Biden administration, aligning with right-wing perspectives."
2024-06-18,Immigration,Biden Admin to Issue Protection for Unauthorized Migrants Married to US Citizens,Biden announces new policy shielding undocumented spouses of U.S. citizens from deportation,"
The Biden administration is taking executive action to protect undocumented spouses of American citizens — a move that would shield about 500,000 immigrants from deportation. The White House announced the election-year policy Tuesday, framing it as “new action to keep families together.” NBC News reported that an executive action protecting the spouses was likely to be announced soon, after urging from immigration advocates and Democratic lawmakers and as President Joe Biden courts Latino voters in crucial battleground states. Lawmakers have been briefed on the plan and at least some have been invited to the... ",Left,"- The article discusses a policy initiative by the Biden administration, which is typically associated with the Democratic Party and left-leaning policies, particularly in the context of immigration reform.
- The framing of the policy as ""new action to keep families together"" aligns with progressive values that emphasize family unity and protection of immigrant rights.
- The article mentions the support and urging from immigration advocates and Democratic lawmakers, indicating alignment with liberal and progressive agendas.","Biden issues massive immigration relief, seeking balance after border crackdown","
The Biden administration will allow certain undocumented immigrants married to U.S. citizens to stay in the country and work legally, expanding a program that’s currently used to provide papers to immediate family of military servicemembers. The Tuesday morning announcement comes amid the 12-year anniversary celebration of the Deferred Action for Childhood Arrivals (DACA) program, which President Biden will celebrate at the White House later in the day with immigrant advocacy and Latino leaders. Biden’s move comes weeks after the administration adopted a crackdown on asylum at the U.S.-Mexico border that angered the same groups the new... ",Left,"- The article discusses a policy move by the Biden administration that aligns with liberal and progressive values, such as providing relief to undocumented immigrants, which is typically supported by left-leaning groups.
- The article mentions President Biden celebrating the anniversary of the DACA program with immigrant advocacy and Latino leaders, indicating a focus on issues important to these communities, which are often associated with the left.
- The tone of the article highlights a balance between enforcement and relief, but the emphasis on immigration relief and the context of celebrating DACA suggests a left-leaning perspective.",Biden unveils plan to protect immigrants married to US citizens from deportation and expands work permits,"
President Joe Biden is unveiling new actions Tuesday that will speed a pathway to legal residency for about 500,000 undocumented people living in the United States. Biden’s announcement, made days after the 12th anniversary of the Deferred Action for Childhood Arrivals program, comes just weeks after the president signed an executive order that will forcibly close the southern border and allow the federal government to expand deportation procedures for incoming immigrants when crossings reach a certain threshold, a policy that drew sharp condemnation from immigration activists and members of his own party.  Biden’s... ",Left,"- The article discusses President Biden's plan to protect immigrants married to US citizens from deportation, which aligns with liberal and progressive values of supporting immigrant rights and providing pathways to legal residency.
- The mention of Biden's actions in the context of the Deferred Action for Childhood Arrivals (DACA) program, a policy generally supported by the left, further indicates a left-leaning perspective.
- The article notes criticism from immigration activists and members of Biden's own party regarding his border policy, suggesting a focus on progressive critiques and concerns."
2024-06-17,Media Bias,Did Biden ‘Wander Off’ During G7 Event? NYP Accused of Misleading Coverage,Conservative media uses misleading camera angle of Biden to falsely claim that he was wandering aimlessly,"
Conservative media outlets selectively used a camera angle that left out important context to spread a claim Thursday and Friday that President Joe Biden wandered off from a meeting of world leaders, but the full video at another angle captured by NBC News tells a different story. Instead of wandering off, Biden was walking toward a group of parachutists who had just landed in an Italian clearing and gave them two thumbs-up.  The deceptive video began spreading online shortly after a photo opportunity at the G7 summit in Puglia, in... ",Left,"- The article criticizes conservative media outlets for using misleading tactics, which aligns with a left-leaning perspective that often challenges conservative narratives.
- The tone of the article suggests that conservative media is intentionally spreading misinformation, a stance that is typically associated with left-leaning critiques of right-wing media practices.
- The focus on defending President Biden from what is portrayed as unfair or deceptive attacks by conservative media indicates a left-leaning bias, as it supports a Democratic political figure against conservative criticism.",Biden Wanders Away From Other G7 Leaders—And Controversy Ensues: The Video Explained,"
A video of President Joe Biden peeling off from other Group of Seven world leaders Thursday drew widespread scrutiny, with Biden's critics arguing he looked aloof on the world stage, though a different cut of the video showed him walking away to talk to other individuals outside of the frame — as Biden's mental fitness has become a focal point of Republican attacks against the president during an election year. Video footage from a skydiving demonstration in G7 host country Italy shows Biden taking a few steps away from the... ",Center,"- The article presents a factual account of an event involving President Biden at the G7 summit, without overtly favoring a particular political perspective.
- It mentions criticism from Biden's opponents, which is a common occurrence in political reporting, but does not endorse or amplify these criticisms.
- The publication does not appear to have a strong political bias, as it provides a balanced view by mentioning both the criticism and the context of the video.",Biden wanders away at G7 summit before being pulled back by Italian PM,"
Mamma mia, Giuseppe! President Biden started to wander off during a skydiving demonstration at the G7 summit in southern Italy Thursday, with the host nation’s prime minister Giorgia Meloni pressed into action to pull him back toward the group. As the leaders of the world’s wealthiest democracies applauded the evening parachuting presentation, the 81-year-old US president’s attention visibly wandered away from where the others were looking. Biden appeared to miss the action happening right in front of him as he shuffled a few steps away from his fellow heads of government, turned the other way and appeared... ",Right,"- The tone of the article is mocking and critical of President Biden, focusing on his age and implying a lack of awareness, which is a common narrative in right-leaning media.
- The article highlights a moment of perceived weakness or confusion in a Democratic leader, which aligns with conservative media's tendency to criticize Democratic figures.
- The publication likely has a right-leaning bias, as it emphasizes a negative portrayal of a prominent Democratic figure without providing context or balance."
2024-06-08,Media Industry,Briahna Joy Gray Fired by The Hill After Tense Interview With Sister of Israeli Hostage,U.S. Pundit Fired After Rolling Eyes in Interview With Sister of Israeli Hostage Held by Hamas,"
American commentator Briahna Joy Gray was fired from The Hill news site on Thursday, after she rolled her eyes in contempt in an interview with Yarden Gonen, the sister of Israeli hostage Romi Gonen.
The act, which has caused public outrage, occurred on the site's YouTube channel, which has two million subscribers.
Gray, affiliated with America's radical left, previously worked for Senator Bernie Sanders when he ran for the presidency in 2020. She served as a host on The Hill's show Rising.
",Left,"- The article mentions that Briahna Joy Gray is affiliated with America's radical left, indicating a left-wing alignment.
- Gray previously worked for Senator Bernie Sanders, a prominent figure in progressive and left-wing politics in the United States.
- The tone of the article suggests that Gray's actions and affiliations are consistent with left-wing or progressive viewpoints, as she was associated with a show that often features left-leaning perspectives.",INTERVIEW: Briahna Joy Gray on Her Firing from The Hill After Criticizing Israel,"
",Left,"- The article features Briahna Joy Gray, who is known for her progressive views and was a former press secretary for Bernie Sanders, a prominent left-wing political figure.
- The content involves criticism of Israel, which is often a stance associated with left-leaning individuals and publications, especially in the context of advocating for Palestinian rights.
- The publication 'The Hill' is generally considered to have a centrist to slightly left-leaning bias, but the focus on a progressive figure and criticism of a traditionally right-aligned foreign policy stance suggests a leftward tilt in this piece.",Progressive commentator fired from The Hill after dismissive reaction to sister of Hamas hostage,"
The Hill fired its progressive online show host after she appeared to roll her eyes while interviewing the sister of an Israeli woman kidnapped and held hostage by Hamas.
“It finally happened. The Hill has fired me,” Briahna Joy Gray said on X Thursday, posted with an image of her notice of termination from the outlet.
She said, “There should be no doubt that @RisingHill has a clear pattern of suppressing speech — particularly when it’s critical of the state of Israel.”
",Left,"- The article discusses the firing of a progressive commentator, Briahna Joy Gray, which suggests a focus on left-wing perspectives, as she is known for her progressive views.
- The content includes criticism of The Hill for allegedly suppressing speech critical of Israel, which aligns with a common left-wing stance of advocating for free speech and often being critical of Israeli policies.
- Briahna Joy Gray's association with progressive politics and her role as a host on a show known for left-leaning content further indicates the article's alignment with left-wing thought."
2024-06-04,Coronavirus,Fauci COVID-19 Hearing Provides Platform for Partisan Drama,"Fauci testifies publicly before House panel on COVID origins, controversies","
Dr. Anthony Fauci, the top U.S. infectious disease expert until leaving the government in 2022, faced heated questioning Monday from Republican lawmakers about the origins of the COVID-19 pandemic. A Republican-led subcommittee has spent over a year probing the nation’s response to the pandemic and whether U.S.-funded research in China may have played any role in how it started. Democrats opened the hearing saying the investigation so far has found no evidence that Fauci did anything wrong while missing an important opportunity to prepare for the next scary outbreak. Fauci – alternately a trusted... ",Center,"- The article presents both sides of the political spectrum: it mentions Republican lawmakers questioning Fauci and Democrats defending him, indicating a balanced approach.
- The tone of the article is neutral, focusing on the facts of the hearing and the investigation without taking a clear stance.
- The publication does not display a significant bias towards either left or right, as it reports on the event without editorializing or showing preference for one side's narrative.",GOP chair reprimands Greene for refusing to call Fauci ‘doctor’,"
Rep. Marjorie Taylor Greene (R-Ga.) was reprimanded by Rep. Brad Wenstrup (R-Ohio), the chair of the House Oversight and Accountability Select Subcommittee on the Coronavirus Pandemic, for refusing to recognize Anthony Fauci as a doctor while questioning him. Fauci, who became the face of the administration’s COVID-19 response while serving as head of the National Institute of Allergy and Infectious Diseases, testified before the GOP-led committee on Monday for the first time since retiring. During Greene’s turn to question him, the Georgia Republican refused to call Fauci “doctor,” and instead referred to him as “Mr. Fauci.” “Do you... ",Right,"- The article focuses on Rep. Marjorie Taylor Greene, a Republican known for her conservative views, and her actions during a GOP-led committee hearing, indicating a right-leaning context.
- The tone of the article highlights a conflict between Greene and Dr. Anthony Fauci, a figure often criticized by conservative circles, suggesting alignment with right-wing skepticism towards Fauci.
- The publication of this article in a context that emphasizes Greene's actions without significant critique or balance suggests a right-leaning perspective.",Fauci distances himself from adviser’s COVID email scandal,"
Former National Institutes of Health official Anthony Fauci distanced himself from an aide’s email scandal during a Monday morning hearing before Congress. David Morens, a longtime senior adviser to Fauci, turned over thousands of emails to the Select Subcommittee on the Coronavirus Pandemic earlier this year, many of which detailed his efforts to circumvent open records laws. Morens wrote in private emails turned over to the committee that he deleted information that could be subject to a freedom of information request and also suggested that Fauci was trying to “protect” the scientist Peter Daszak, who has been cut off from... ",Right,"- The article focuses on a scandal involving Anthony Fauci, a figure often criticized by right-leaning media, suggesting a negative tone towards him.
- The content highlights issues of transparency and accountability, which are often emphasized by conservative outlets when discussing government officials.
- The typical political bias of publications that focus on scandals involving Fauci and COVID-19 policies tends to lean right, as these topics are frequently used to criticize the handling of the pandemic by government officials."
2024-06-02,Culture,Are Dating Apps on the Decline?,Your dating app is not your friend,"
In the 2010s, brands increasingly sold the public a social message. You couldn’t just sell soap – you had to sell personal hygiene products that encouraged society to accept people of all sizes. You couldn’t just sell soda – you had to sell soda that promoted peace between socially opposing groups. Even if the most cynical and toxic brands painted themselves as having a warm, human sensibility and strong political values. For some, such marketing was visibly self-serving and insincere. Others believed that companies genuinely cared about improving the world, and trusted... ",Left,"- The article critiques the trend of brands adopting social messages, which is often associated with progressive or left-leaning values, suggesting a skepticism towards corporate motives in adopting these messages.
- The tone of the article appears to be critical of the commercialization of social justice, a topic often discussed in left-leaning circles that are wary of corporate influence.
- The focus on social acceptance and peace between opposing groups aligns with themes commonly emphasized in left-wing discourse, even if the article is critiquing the sincerity of these efforts.",Young women fall out of love with dating apps,"
Dating apps such as Tinder and Bumble are exploring extra features and new branding to attract more Generation Z women in response to warnings that female users are suffering “burnout” on matchmaking platforms. Match Group, which has more than 40 dating brands including Tinder and Hinge, and Bumble, which also owns Badoo and Fruitz, have both said they plan to boost content moderation and introduce other tools to improve women’s experiences. Surveys have consistently shown a gender disparity among dating app users, while some women have reported concerns about receiving... ",Center,"- The article focuses on the business strategies of dating app companies like Tinder and Bumble, which is a neutral topic without inherent political bias.
- It discusses the issue of 'burnout' among female users of dating apps, which is a social issue but not framed in a politically charged manner.
- The publication does not take a stance on political figures, organizations, or policies, and the tone is informative and balanced, typical of center-aligned content.",Bumble-ing Idiots,"
Bumble launched in 2014 as a “feminist dating app” that was “designed to challenge outdated heterosexual dating norms.” It distinguished itself on the market and (theoretically) empowered women by requiring them to send the first message, which supposedly helped prevent harassment, predatory messages, and unsolicited nude photos from men. Ten years later, Bumble has rebranded. When asked by the company, nearly half of 6,138 female users aged 23–35 told Bumble that they prefer additional ways to start a conversation, so it introduced the “Opening Moves” feature, which allows women to pick prompts... ",Left,"- The article discusses Bumble as a 'feminist dating app,' which aligns with progressive and liberal values focused on gender equality and challenging traditional norms.
- The tone of the article highlights the empowerment of women, a common theme in left-leaning discourse, by emphasizing features that prevent harassment and promote women's agency in dating.
- The focus on challenging 'outdated heterosexual dating norms' suggests a progressive stance, which is typically associated with left-wing thought."
2024-05-24,Education,"Over 1,000 Students Walk Out During Harvard's Commencement Ceremony",Students Walk Out in Protest at Harvard Commencement,"
Hundreds of students walked out of Harvard University’s commencement ceremony on Thursday morning as degrees were conferred, while hundreds chanted “Let them walk!”, a reference to 13 student protesters who were not allowed to graduate after a vote Wednesday by the Harvard Corporation, the university’s governing body. The walkout was a jarring reminder of continuing unrest on the Cambridge campus, on a day when more than 9,000 graduates and their families were gathered in Harvard Yard for celebration and reflection. At the start of the ceremony, the university’s interim president,... ",Left,"- The article describes a protest at Harvard University, which is often associated with liberal and progressive activism, indicating a left-leaning context.
- The focus on student protests and chants like ""Let them walk!"" suggests a narrative sympathetic to the protesters, which is a common theme in left-leaning publications.
- The mention of unrest and the actions of the Harvard Corporation, a governing body, may imply criticism of institutional authority, aligning with left-wing perspectives that often challenge established power structures.",Harvard graduates walk out of commencement after weeks of protests,"
Hundreds of graduates at Harvard University walked out of their commencement Thursday after the school announced 13 students who participated in the recent pro-Palestinian protests on campus would not be allowed to receive their diplomas with fellow students. Groups of graduates walked out chanting “Free, Free Palestine” and “Let them walk, let them walk” in reference to the students barred from walking at the ceremony, The Associated Press reported. A total of more than 1,000 students participated in the walkout, according to the school’s protest groups. Harvard’s administrative board determined... ",Left,"- The article focuses on a protest supporting a pro-Palestinian cause, which is often associated with left-wing or progressive movements.
- The tone of the article highlights student activism and civil disobedience, which are typically aligned with liberal or progressive values.
- The Associated Press, while generally considered a centrist news organization, is reporting on an event that involves a left-leaning protest, which influences the classification of this specific article.","Harvard student goes off script in commencement speech to rip school as more than 1,000 walk out","
A Harvard University commencement speaker went dramatically off script to blast the Ivy League school for barring a handful of those involved in a disruptive anti-Israeli encampment — before more than 1,000 students also staged a walkout. Shruthi Kumar, the Harvard senior selected to deliver the English address Thursday, pulled out a piece of paper containing controversial remarks hidden up the sleeve of her gown and took aim at university leaders over the decision to deny more than a dozen students their diplomas. “As I stand here today, I must take a... ",Left,"- The article describes a student criticizing Harvard University for its actions against students involved in an anti-Israeli protest, which aligns with left-wing support for Palestinian causes and criticism of pro-Israel stances.
- The tone of the article highlights a protest against an institution's decision, which is often associated with progressive activism and advocacy for free speech and protest rights.
- The context of the article involves a large student walkout, a form of protest that is typically associated with left-leaning movements and activism."
2024-05-13,Donald Trump,Trump's Former 'Fixer' Michael Cohen Testifies in Hush Money Trial,Donald Trump’s GOP allies show up in force as Michael Cohen takes the stand in hush money trial,"
With Donald Trump barred from publicly attacking the key witness in his hush money trial, his campaign brought to court a phalanx of Republican elected officials to speak for him. “The thing that the president is prevented from saying, which is a disgrace, is that every single person involved in this prosecution is practically a Democratic political operative,” U.S. Sen. JD Vance of Ohio said outside the courthouse Monday during a morning break. Trump’s former fixer Michael Cohen took the stand on Monday to allege that the former president instructed... ",Right,"- The article prominently features Republican figures, such as U.S. Sen. JD Vance, who are defending Donald Trump, indicating a conservative alignment.
- The tone of the article suggests a critical view of the prosecution, describing it as being conducted by 'Democratic political operatives,' which aligns with right-wing narratives.
- The focus on defending Trump and criticizing the legal proceedings is consistent with the typical stance of right-leaning publications that support Trump and his allies.",Angry Trump blasts judge after Cohen testimony,"
Former President Trump on Monday laced into the New York judge handling his hush money trial after his former attorney, Michael Cohen, spent hours on the witness stand. Trump was asked as he exited the courtroom why a handful of elected officials had joined him at the courthouse, with Sen. J.D. Vance (R-Ohio), Sen. Tommy Tuberville (R-Ala.) and the attorney general of Iowa among them. “They think it’s a terrible thing that is happening to democracy in this country,” Trump responded. “We have a lot of them, they want to... ",Right,"- The article focuses on former President Trump, a prominent figure in conservative politics, and his reaction to the trial, which aligns with right-wing perspectives.
- The presence of Republican officials such as Sen. J.D. Vance and Sen. Tommy Tuberville, who are known for their conservative stances, suggests a right-leaning context.
- The tone of the article, highlighting Trump's criticism of the judicial process as a threat to democracy, resonates with common right-wing narratives about perceived injustices against conservative figures.",Ex-con Michael Cohen testifies about secret recording he made of Trump discussing affair claims before 2016 election,"
Michael Cohen testified Monday he secretly recorded Donald Trump in the lead-up to the 2016 election, discussing plans to buy a Playboy model’s story about having an affair with the then-candidate. Cohen — who worked for Trump for more than a decade — told jurors in Manhattan Supreme Court that the Sept. 6, 2016, conversation, taped on the Voice Memos app on his iPhone, was the only time he surreptitiously recorded his former boss. “So, what do we got to pay for this? One-fifty?” Trump could allegedly be heard saying... ",Center,"- The article reports on a factual event involving Michael Cohen's testimony about a recording of Donald Trump, focusing on the details of the testimony without overt editorializing.
- The tone of the article is neutral, presenting the information about the recording and the context of the 2016 election without taking a clear political stance.
- The publication does not display a significant political bias in this article, as it sticks to reporting the facts of the court testimony and the content of the recording."
